3.737928569316864014e-01,1.082756966352462769e-01,1.078981459140777588e-01,3.043120503425598145e-01,1.057213395833969116e-01
3.524634242057800293e-01,9.365927428007125854e-02,7.837295532226562500e-02,3.368479013442993164e-01,1.386564671993255615e-01
3.389973640441894531e-01,1.882719546556472778e-01,6.326750665903091431e-02,2.380350679159164429e-01,1.714280694723129272e-01
3.182109296321868896e-01,8.103627711534500122e-02,1.413252651691436768e-01,3.272331058979034424e-01,1.321944147348403931e-01
3.424530625343322754e-01,7.071886956691741943e-02,8.940678089857101440e-02,3.693549335002899170e-01,1.280663609504699707e-01
9.404340386390686035e-02,1.151251941919326782e-01,1.656804978847503662e-01,3.097070157527923584e-01,3.154439032077789307e-01
1.592232137918472290e-01,7.529976218938827515e-02,2.103784829378128052e-01,3.908912539482116699e-01,1.642072349786758423e-01
2.585303187370300293e-01,1.628341674804687500e-01,1.418858766555786133e-01,9.944184124469757080e-02,3.373078107833862305e-01
1.957707703113555908e-01,1.983342170715332031e-01,1.925067901611328125e-01,2.157206982374191284e-01,1.976675689220428467e-01
3.382212221622467041e-01,1.745557337999343872e-01,1.175361126661300659e-01,2.551724612712860107e-01,1.145144775509834290e-01
3.579659759998321533e-01,1.611149907112121582e-01,1.105348169803619385e-01,2.564052641391754150e-01,1.139788776636123657e-01
3.896135389804840088e-01,1.932371854782104492e-01,1.194398403167724609e-01,1.450045108795166016e-01,1.527049690485000610e-01
3.749058246612548828e-01,7.489768415689468384e-02,1.612804383039474487e-01,2.192001938819885254e-01,1.697158068418502808e-01
3.560636937618255615e-01,1.228624880313873291e-01,1.397938281297683716e-01,2.220332026481628418e-01,1.592468619346618652e-01
1.376004815101623535e-01,1.238192170858383179e-01,2.137304246425628662e-01,2.896774113178253174e-01,2.351724505424499512e-01
2.214191854000091553e-01,9.819658100605010986e-02,1.915110945701599121e-01,3.032552599906921387e-01,1.856178492307662964e-01
